county,reported_margin_rd,reported_votes,pct_reporting
FLOYD,18.0,10709,25.0
DEKALB,-65.0,125323,31.0
BIBB,26.0,46993,57.0
FULTON,-49.0,322357,58.0
COLUMBIA,38.0,50973,63.0
COBB,-13.0,294341,70.0
GWINNETT,-15.0,305816,73.0
HOUSTON,23.0,52757,74.0
COWETA,47.0,57767,75.0
COFFEE,50.0,11950,75.0
JEFF DAVIS,69.0,4960,75.0
HARRIS,56.0,15805,77.0
FANNIN,75.0,11383,78.0
TAYLOR,40.0,3040,78.0
WALTON,57.0,40140,79.0
STEPHENS,66.0,9686,79.0
CHATHAM,-13.0,106786,80.0
FORSYTH,45.0,98481,81.0
EFFINGHAM,54.0,23699,81.0
PICKENS,75.0,14169,81.0
JONES,45.0,12144,81.0
PUTNAM,52.0,9151,81.0
GILMER,73.0,13024,82.0
CLAYTON,-71.0,103553,84.0
SUMTER,-1.4,10932,85.0
HENRY,-13.0,93327,86.0
RICHMOND,-37.0,86584,86.0
WILKINSON,11.0,4271,87.0
DOOLY,6.0,4098,87.0
STEWART,-19.0,1978,87.0
ATKINSON,47.0,3155,88.0
TALIAFERRO,-22.0,927,88.0
MUSCOGEE,-24.0,80216,89.0
ROCKDALE,-40.0,43586,89.0
MACON,-23.0,4661,89.0
BAKER,16.0,1552,89.0
COLQUITT,55.0,13485,90.0
QUITMAN,10.0,1106,90.0
DOUGLAS,-25.0,67118,91.0
TELFAIR,31.0,4323,91.0
GLASCOCK,80.0,1566,91.0
TALBOT,-21.0,3519,92.0
CALHOUN,-15.0,2193,92.0
BRYAN,46.0,17567,93.0
BACON,73.0,4668,93.0
JENKINS,26.0,3451,93.0
MILLER,47.0,2830,93.0
BURKE,3.0,10085,94.0
BERRIEN,66.0,7731,94.0
SEMINOLE,35.0,3877,94.0
APPLING,57.0,8322,95.0
DODGE,45.0,8064,95.0
TOWNS,61.0,7968,95.0
DADE,65.0,7423,96.0
WILKES,13.0,5022,96.0
LINCOLN,38.0,4643,96.0
TWIGGS,7.0,4438,96.0
WILCOX,47.0,3281,96.0
LOWNDES,13.0,45138,97.0
WARREN,-12.0,2681,97.0
CATOOSA,56.0,32659,98.0
POLK,57.0,17375,98.0
CHATTOOGA,62.0,10041,98.0
OGLETHORPE,39.0,8126,98.0
ECHOLS,76.0,1439,98.0
CHEROKEE,39.0,144598,98.0
HALL,45.0,85840,98.0
PAULDING,29.0,85273,98.0
FAYETTE,7.0,67328,98.0
DOUGHERTY,-27.0,56324,98.0
CARROLL,39.0,54416,98.0
NEWTON,-11.0,54177,98.0
CLARKE,-42.0,51098,98.0
BARTOW,51.0,50113,98.0
GLYNN,23.0,41926,98.0
BARROW,43.0,38000,98.0
JACKSON,58.0,37663,98.0
WHITFIELD,41.0,36680,98.0
BULLOCH,24.0,30088,98.0
TROUP,22.0,29967,98.0
WALKER,59.0,29423,98.0
SPALDING,21.0,28951,98.0
OCONEE,34.0,25157,98.0
GORDON,62.0,24011,98.0
CAMDEN,31.0,23484,98.0
LAURENS,29.0,22388,98.0
THOMAS,19.0,21848,98.0
LIBERTY,-24.0,21326,98.0
HABERSHAM,64.0,20407,98.0
BALDWIN,-1.2,18205,98.0
LEE,45.0,16702,98.0
TIFT,34.0,16257,98.0
DAWSON,68.0,16064,98.0
MONROE,43.0,15590,98.0
UNION,63.0,15579,98.0
LUMPKIN,58.0,15524,98.0
MURRAY,69.0,15382,98.0
MADISON,53.0,14697,98.0
WHITE,66.0,14697,98.0
HARALSON,74.0,14266,98.0
WARE,40.0,14248,98.0
UPSON,34.0,12899,98.0
WAYNE,57.0,12758,98.0
HART,50.0,12721,98.0
PEACH,5.0,12436,98.0
BUTTS,44.0,11786,98.0
MORGAN,42.0,11689,98.0
DECATUR,17.0,11613,98.0
GREENE,27.0,11237,98.0
TOOMBS,45.0,10903,98.0
MERIWETHER,21.0,10869,98.0
FRANKLIN,69.0,10783,98.0
PIKE,71.0,10715,98.0
GRADY,32.0,10689,98.0
MCDUFFIE,19.0,10451,98.0
EMANUEL,39.0,9499,98.0
WASHINGTON,-0.7,9448,98.0
WORTH,48.0,9281,98.0
RABUN,59.0,9143,98.0
ELBERT,37.0,9135,98.0
PIERCE,75.0,9047,98.0
MITCHELL,-11.0,8878,98.0
BANKS,78.0,8786,98.0
LAMAR,42.0,8767,98.0
TATTNALL,49.0,8175,98.0
CRISP,25.0,8041,98.0
BRANTLEY,81.0,7725,98.0
JEFFERSON,-7.0,7641,98.0
JASPER,53.0,7629,98.0
BROOKS,21.0,7077,98.0
COOK,40.0,7034,98.0
MCINTOSH,21.0,6698,98.0
SCREVEN,19.0,6624,98.0
BEN HILL,26.0,6559,98.0
CRAWFORD,46.0,6089,98.0
BLECKLEY,53.0,5704,98.0
LONG,27.0,5617,98.0
HEARD,68.0,5394,98.0
EARLY,5.0,5184,98.0
CHARLTON,51.0,4563,98.0
CANDLER,42.0,4419,98.0
TERRELL,-8.0,4415,98.0
EVANS,37.0,4246,98.0
IRWIN,51.0,4164,98.0
JOHNSON,40.0,4100,98.0
PULASKI,39.0,4059,98.0
MONTGOMERY,50.0,3962,98.0
TURNER,25.0,3790,98.0
MARION,27.0,3624,98.0
LANIER,43.0,3496,98.0
TREUTLEN,37.0,3077,98.0
RANDOLPH,-9.0,3065,98.0
CLINCH,48.0,2860,98.0
WHEELER,39.0,2283,98.0
SCHLEY,59.0,2274,98.0
CHATTAHOOCHEE,13.0,1587,98.0
CLAY,-11.0,1432,98.0
WEBSTER,8.0,1390,98.0
