county,reported_margin_rd,reported_votes,pct_reporting
HOUSTON,13.0,65080,78.0
DOUGLAS,-32.0,55406,71.0
ROCKDALE,-52.0,35619,68.0
OCONEE,35.0,22612,84.0
TROUP,27.0,22171,62.0
CAMDEN,35.0,20204,77.0
GORDON,63.0,18594,72.0
CATOOSA,52.0,16778,47.0
UNION,61.0,14152,85.0
GREENE,34.0,10593,87.0
DECATUR,29.0,7720,55.0
MCDUFFIE,34.0,7711,60.0
GRADY,37.0,7574,60.0
MERIWETHER,29.0,7213,57.0
BRANTLEY,83.0,5987,69.0
BLECKLEY,60.0,4618,68.0
FAYETTE,-23.0,4285,5.0
HEARD,71.0,3962,67.0
TWIGGS,6.0,3130,57.0
IRWIN,58.0,3082,61.0
TAYLOR,45.0,2877,61.0
SCHLEY,63.0,2427,95.0
TREUTLEN,49.0,2208,60.0
FLOYD,-1.9,1853,4.0
RANDOLPH,4.0,1841,47.0
GLASCOCK,85.0,1168,63.0
HART,28.0,949,7.0
GILMER,21.0,929,5.0
STEPHENS,36.0,686,5.0
PICKENS,67.0,665,4.0
BURKE,-45.0,550,4.0
THOMAS,27.0,432,2.0
POLK,17.0,150,1.0
LANIER,-15.0,111,3.0
APPLING,,0,0
ATKINSON,,0,0
BACON,,0,0
BAKER,,0,0
BALDWIN,,0,0
BANKS,,0,0
BARROW,,0,0
BARTOW,,0,0
BEN HILL,,0,0
BERRIEN,,0,0
BIBB,,0,0
BROOKS,,0,0
BRYAN,,0,0
BULLOCH,,0,0
BUTTS,,0,0
CALHOUN,,0,0
CANDLER,,0,0
CARROLL,,0,0
CHARLTON,,0,0
CHATHAM,,0,0
CHATTAHOOCHEE,,0,0
CHATTOOGA,,0,0
CHEROKEE,,0,0
CLARKE,,0,0
CLAY,,0,0
CLAYTON,,0,0
CLINCH,,0,0
COBB,,0,0
COFFEE,,0,0
COLQUITT,,0,0
COLUMBIA,,0,0
COOK,,0,0
COWETA,,0,0
CRAWFORD,,0,0
CRISP,,0,0
DADE,,0,0
DAWSON,,0,0
DEKALB,,0,0
DODGE,,0,0
DOOLY,,0,0
DOUGHERTY,,0,0
EARLY,,0,0
ECHOLS,,0,0
EFFINGHAM,,0,0
ELBERT,,0,0
EMANUEL,,0,0
EVANS,,0,0
FANNIN,,0,0
FORSYTH,,0,0
FRANKLIN,,0,0
FULTON,,0,0
GLYNN,,0,0
GWINNETT,,0,0
HABERSHAM,,0,0
HALL,,0,0
HANCOCK,,0,0
HARALSON,,0,0
HARRIS,,0,0
HENRY,,0,0
JACKSON,,0,0
JASPER,,0,0
JEFF DAVIS,,0,0
JEFFERSON,,0,0
JENKINS,,0,0
JOHNSON,,0,0
JONES,,0,0
LAMAR,,0,0
LAURENS,,0,0
LEE,,0,0
LIBERTY,,0,0
LINCOLN,,0,0
LONG,,0,0
LOWNDES,,0,0
LUMPKIN,,0,0
MACON,,0,0
MADISON,,0,0
MARION,,0,0
MCINTOSH,,0,0
MILLER,,0,0
MITCHELL,,0,0
MONROE,,0,0
MONTGOMERY,,0,0
MORGAN,,0,0
MURRAY,,0,0
MUSCOGEE,,0,0
NEWTON,,0,0
OGLETHORPE,,0,0
PAULDING,,0,0
PEACH,,0,0
PIERCE,,0,0
PIKE,,0,0
PULASKI,,0,0
PUTNAM,,0,0
QUITMAN,,0,0
RABUN,,0,0
RICHMOND,,0,0
SCREVEN,,0,0
SEMINOLE,,0,0
SPALDING,,0,0
STEWART,,0,0
SUMTER,,0,0
TALBOT,,0,0
TALIAFERRO,,0,0
TATTNALL,,0,0
TELFAIR,,0,0
TERRELL,,0,0
TIFT,,0,0
TOOMBS,,0,0
TOWNS,,0,0
TURNER,,0,0
UPSON,,0,0
WALKER,,0,0
WALTON,,0,0
WARE,,0,0
WARREN,,0,0
WASHINGTON,,0,0
WAYNE,,0,0
WEBSTER,,0,0
WHEELER,,0,0
WHITE,,0,0
WHITFIELD,,0,0
WILCOX,,0,0
WILKES,,0,0
WILKINSON,,0,0
WORTH,,0,0
