county,reported_margin_rd,reported_votes,pct_reporting
Oakland,-23.0,617668,88.0
Wayne,-40.0,341866,45.0
Kent,-7.0,198047,61.0
Macomb,6.0,195661,46.0
Washtenaw,-44.0,147969,74.0
Ottawa,21.0,132285,87.0
Genesee,-9.0,114639,59.0
Ingham,-37.0,110959,82.0
Livingston,13.0,108833,95.0
Kalamazoo,-18.0,92696,71.0
Saginaw,-8.0,79854,86.0
St. Clair,17.0,74504,95.0
Jackson,8.0,64703,90.0
Berrien,7.0,57892,82.0
Eaton,-8.0,52238,88.0
Allegan,21.0,51317,87.0
Calhoun,1.0,50570,86.0
Bay,-3.0,49152,91.0
Grand Traverse,-6.0,48883,87.0
Muskegon,-2.0,48271,57.0
Midland,4.0,41224,93.0
Lenawee,12.0,41151,89.0
Clinton,-0.4,40106,92.0
Lapeer,26.0,33608,74.0
Monroe,15.0,31787,44.0
Marquette,-22.0,31369,92.0
Van Buren,3.0,30246,87.0
Ionia,18.0,27205,95.0
Montcalm,25.0,26395,95.0
Barry,24.0,25390,80.0
Shiawassee,11.0,24555,71.0
Tuscola,28.0,24001,94.0
Isabella,-7.0,23982,92.0
Newaygo,33.0,22759,95.0
St. Joseph,21.0,21921,91.0
Cass,26.0,20353,95.0
Emmet,1.6,19195,93.0
Mecosta,19.0,17510,95.0
Delta,18.0,16250,84.0
Branch,28.0,16127,91.0
Houghton,7.0,15480,92.0
Leelanau,-12.0,15474,95.0
Gratiot,15.0,15324,92.0
Wexford,23.0,15105,93.0
Sanilac,39.0,15025,79.0
Huron,27.0,15008,95.0
Mason,11.0,14757,93.0
Chippewa,11.0,14535,87.0
Antrim,13.0,14014,93.0
Alpena,14.0,13012,88.0
Roscommon,16.0,12951,95.0
Manistee,3.0,12646,93.0
Otsego,21.0,12506,95.0
Charlevoix,6.0,12414,79.0
Hillsdale,41.0,11989,60.0
Dickinson,26.0,11985,95.0
Iosco,15.0,11834,87.0
Cheboygan,17.0,11536,79.0
Gladwin,25.0,11357,90.0
Clare,21.0,11316,80.0
Osceola,36.0,10379,94.0
Ogemaw,26.0,9892,95.0
Menominee,27.0,8474,83.0
Kalkaska,30.0,7817,80.0
Missaukee,44.0,7448,95.0
Presque Isle,16.0,7298,93.0
Arenac,22.0,7170,92.0
Crawford,16.0,6531,90.0
Gogebic,7.0,6466,95.0
Mackinac,13.0,5999,91.0
Alcona,29.0,5981,95.0
Iron,19.0,5620,89.0
Oceana,23.0,5550,43.0
Lake,19.0,5260,94.0
Montmorency,31.0,5118,95.0
Alger,6.0,4326,95.0
Oscoda,30.0,4012,91.0
Schoolcraft,19.0,3878,89.0
Baraga,21.0,3444,93.0
Ontonagon,17.0,3259,95.0
Luce,31.0,2377,95.0
Keweenaw,3.0,1390,91.0
Benzie,,0,0.0
