county,reported_margin_rd,reported_votes,pct_reporting
ALLEGHENY,-71.0,183308,30.0
PHILADELPHIA,-91.0,67168,12.0
BUCKS,-70.0,39977,12.0
YORK,-60.0,26422,13.0
CUMBERLAND,-61.0,25585,20.0
DAUPHIN,-70.0,25079,19.0
NORTHAMPTON,-66.0,24773,18.0
DELAWARE,-76.0,21014,7.0
WASHINGTON,-61.0,12952,13.0
BERKS,-21.0,9348,5.0
SNYDER,54.0,8086,46.0
LYCOMING,-25.0,7659,13.0
FRANKLIN,35.0,6572,9.0
CARBON,28.0,6309,22.0
WAYNE,-31.0,5436,21.0
CLARION,1.2,5075,28.0
JEFFERSON,4.0,4236,21.0
COLUMBIA,12.0,3912,14.0
BRADFORD,-32.0,3629,13.0
SUSQUEHANNA,-13.0,3202,19.0
CAMBRIA,32.0,2932,5.0
GREENE,34.0,2684,18.0
WESTMORELAND,28.0,2476,1.0
LANCASTER,34.0,2473,1.0
ADAMS,41.0,2449,5.0
BUTLER,15.0,2255,2.0
BLAIR,37.0,2192,4.0
PERRY,45.0,2089,9.0
ERIE,7.0,1979,2.0
VENANGO,32.0,1861,8.0
CLEARFIELD,40.0,1859,5.0
CLINTON,-46.0,1851,12.0
LACKAWANNA,22.0,1545,2.0
NORTHUMBERLAND,36.0,1387,3.0
CHESTER,-2.0,1379,1.0
MONTGOMERY,-8.0,1316,1.0
BEAVER,28.0,1163,1.0
SCHUYLKILL,53.0,1110,2.0
PIKE,49.0,1104,4.0
SOMERSET,32.0,1037,3.0
LEHIGH,-23.0,959,1.0
FOREST,-32.0,409,17.0
ARMSTRONG,,0,0
BEDFORD,,0,0
CAMERON,,0,0
CENTRE,,0,0
CRAWFORD,,0,0
ELK,,0,0
FAYETTE,,0,0
FULTON,,0,0
HUNTINGDON,,0,0
INDIANA,,0,0
JUNIATA,,0,0
LAWRENCE,,0,0
LEBANON,,0,0
LUZERNE,,0,0
MCKEAN,,0,0
MERCER,,0,0
MIFFLIN,,0,0
MONROE,,0,0
MONTOUR,,0,0
POTTER,,0,0
SULLIVAN,,0,0
TIOGA,,0,0
UNION,,0,0
WARREN,,0,0
WYOMING,,0,0
