state,state_po,county_name,county_fips,votes_dem,votes_gop,total_votes_2024,margin_2024
ALASKA,AK,DISTRICT 01,2001.0,3367.0,4861.0,8584,17.4044734389562
ALASKA,AK,DISTRICT 02,2002.0,4571.0,4534.0,9563,-0.38690787409808636
ALASKA,AK,DISTRICT 03,2003.0,6130.0,4496.0,11107,-14.71144323399658
ALASKA,AK,DISTRICT 04,2004.0,6161.0,2691.0,9270,-37.43257820927724
ALASKA,AK,DISTRICT 05,2005.0,3328.0,4351.0,8020,12.75561097256858
ALASKA,AK,DISTRICT 06,2006.0,4773.0,6705.0,12000,16.1
ALASKA,AK,DISTRICT 07,2007.0,2513.0,6777.0,9609,44.37506504318868
ALASKA,AK,DISTRICT 08,2008.0,2576.0,7950.0,10805,49.73623322535863
ALASKA,AK,DISTRICT 09,2009.0,5849.0,5581.0,11836,-2.2642784724569114
ALASKA,AK,DISTRICT 10,2010.0,4070.0,4357.0,8763,3.275134086500057
ALASKA,AK,DISTRICT 11,2011.0,4633.0,4864.0,9840,2.347560975609756
ALASKA,AK,DISTRICT 12,2012.0,4169.0,4059.0,8515,-1.291837933059307
ALASKA,AK,DISTRICT 13,2013.0,3682.0,3589.0,7577,-1.2273987066121155
ALASKA,AK,DISTRICT 14,2014.0,4346.0,2768.0,7426,-21.24966334500404
ALASKA,AK,DISTRICT 15,2015.0,4364.0,4594.0,9293,2.474981168621543
ALASKA,AK,DISTRICT 16,2016.0,5344.0,3929.0,9669,-14.634398593442963
ALASKA,AK,DISTRICT 17,2017.0,4990.0,2407.0,7718,-33.467219486913706
ALASKA,AK,DISTRICT 18,2018.0,1928.0,2686.0,4816,15.739202657807308
ALASKA,AK,DISTRICT 19,2019.0,2825.0,1971.0,5025,-16.99502487562189
ALASKA,AK,DISTRICT 20,2020.0,3924.0,3041.0,7267,-12.150818769781202
ALASKA,AK,DISTRICT 21,2021.0,4711.0,3984.0,9043,-8.039367466548713
ALASKA,AK,DISTRICT 22,2022.0,2660.0,2594.0,5463,-1.2081274025260844
ALASKA,AK,DISTRICT 23,2023.0,4116.0,6101.0,10685,18.5774450163781
ALASKA,AK,DISTRICT 24,2024.0,3234.0,6482.0,10118,32.10120577189168
ALASKA,AK,DISTRICT 25,2025.0,3172.0,6891.0,10460,35.55449330783939
